DATA_TYPE,CALENDAR,DESCR1,VALUE1,VALUE2,VALUE3
Enrollment,Fall 2014,,16305,,
Enrollment,Fall 2015,,16844,,
Enrollment,Fall 2016,,16881,,
Enrollment,Fall 2017,,16612,,
Enrollment,Fall 2018,,15816,,
Enrollment,Fall 2019,,14980,,
Enrollment,Fall 2020,,14465,,
Enrollment,Fall 2021,,13984,,
Enrollment,Fall 2022,,14324,,
Enrollment,Fall 2023,,15008,,
Degrees,2013-14,,3576,,
Degrees,2014-15,,3635,,
Degrees,2015-16,,3774,,
Degrees,2016-17,,3803,,
Degrees,2017-18,,3884,,
Degrees,2018-19,,3955,,
Degrees,2019-20,,3820,,
Degrees,2020-21,,3515,,
Degrees,2021-22,,3554,,
Degrees,2022-23,,3420,,
Retention,Fall 2014,Fall 2013 to Fall 2014,0.7228370221,1437,1988
Retention,Fall 2015,Fall 2014 to Fall 2015,0.7402791625,1485,2006
Retention,Fall 2016,Fall 2015 to Fall 2016,0.7402862986,1810,2445
Retention,Fall 2017,Fall 2016 to Fall 2017,0.7342844405,1647,2243
Retention,Fall 2018,Fall 2017 to Fall 2018,0.7300843486,1558,2134
Retention,Fall 2019,Fall 2018 to Fall 2019,0.7506185057,1517,2021
Retention,Fall 2020,Fall 2019 to Fall 2020,0.7947506562,1514,1905
Retention,Fall 2021,Fall 2020 to Fall 2021,0.7385740402,1212,1641
Retention,Fall 2022,Fall 2021 to Fall 2022,0.7697841727,1498,1946
Retention,Fall 2023,Fall 2022 to Fall 2023,0.7961783439,1625,2041
RetentionSPR,Fall 2015,Fall 2014 to Spring 2015,0.8863409771,1778,2006
RetentionSPR,Fall 2016,Fall 2015 to Spring 2016,0.8936605317,2185,2445
RetentionSPR,Fall 2017,Fall 2016 to Spring 2017,0.8756130183,1964,2243
RetentionSPR,Fall 2018,Fall 2017 to Spring 2018,0.8734770384,1864,2134
RetentionSPR,Fall 2019,Fall 2018 to Spring 2019,0.8654131618,1749,2021
RetentionSPR,Fall 2020,Fall 2019 to Spring 2020,0.8965879265,1708,1905
RetentionSPR,Fall 2021,Fall 2020 to Spring 2021,0.8653260207,1420,1641
RetentionSPR,Fall 2022,Fall 2021 to Spring 2022,0.8705035971,1694,1946
RetentionSPR,Fall 2023,Fall 2022 to Spring 2023,0.8971092602,1831,2041
RetentionSPR,Fall 2024,Fall 2023 to Spring 2024,0.8746964546,1801,2059
Graduation,Fall 2008,6 year graduation rate,0.4193949441,1012,2413
Graduation,Fall 2009,6 year graduation rate,0.4506641366,950,2108
Graduation,Fall 2010,6 year graduation rate,0.4491244676,949,2113
Graduation,Fall 2011,6 year graduation rate,0.4926624738,940,1908
Graduation,Fall 2012,6 year graduation rate,0.508753862,988,1942
Graduation,Fall 2013,6 year graduation rate,0.5,994,1988
Graduation,Fall 2014,6 year graduation rate,0.5229312064,1049,2006
Graduation,Fall 2015,6 year graduation rate,0.5210633947,1274,2445
Graduation,Fall 2016,6 year graduation rate,0.5345519394,1199,2243
Graduation,Fall 2017,6 year graduation rate,0.5496719775,1173,2134
Progression,Fall 2014,,0.4498789647,7248,16111
Progression,Fall 2015,,0.4524379025,7377,16305
Progression,Fall 2016,,0.4584421753,7722,16844
Progression,Fall 2017,,0.4558379243,7695,16881
Progression,Fall 2018,,0.4625571876,7684,16612
Progression,Fall 2019,,0.4748988366,7511,15816
Progression,Fall 2020,,0.4886515354,7320,14980
Progression,Fall 2021,,0.467265814,6759,14465
Progression,Fall 2022,,0.4802631579,6716,13984
Progression,Fall 2023,,0.468165317,6706,14324
DFW,2014-15,,0.1210720559,17026,140627
DFW,2015-16,,0.1181792104,16891,142927
DFW,2016-17,,0.1119353775,15617,139518
DFW,2017-18,,0.1094710676,14885,135972
DFW,2018-19,,0.1019748353,13405,131454
DFW,2019-20,,0.0822981995,10170,123575
DFW,2020-21,,0.1212538696,14610,120491
DFW,2021-22,,0.1181018098,13795,116806
DFW,2022-23,,0.1184128546,14444,121980
DFW,2023-24,,0.1153689838,14761,127946
