DATA_TYPE,CALENDAR,DESCR1,VALUE1,VALUE2,VALUE3
Enrollment,Fall 2014,,2609,,
Enrollment,Fall 2015,,2687,,
Enrollment,Fall 2016,,2720,,
Enrollment,Fall 2017,,2722,,
Enrollment,Fall 2018,,2662,,
Enrollment,Fall 2019,,2713,,
Enrollment,Fall 2020,,2694,,
Enrollment,Fall 2021,,2823,,
Enrollment,Fall 2022,,2994,,
Enrollment,Fall 2023,,3057,,
Degrees,2013-14,,696,,
Degrees,2014-15,,738,,
Degrees,2015-16,,645,,
Degrees,2016-17,,661,,
Degrees,2017-18,,676,,
Degrees,2018-19,,668,,
Degrees,2019-20,,755,,
Degrees,2020-21,,714,,
Degrees,2021-22,,754,,
Degrees,2022-23,,813,,
Retention,Fall 2014,Fall 2013 to Fall 2014,0.7281879195,217,298
Retention,Fall 2015,Fall 2014 to Fall 2015,0.7368421053,210,285
Retention,Fall 2016,Fall 2015 to Fall 2016,0.6988950276,253,362
Retention,Fall 2017,Fall 2016 to Fall 2017,0.7277628032,270,371
Retention,Fall 2018,Fall 2017 to Fall 2018,0.7016129032,261,372
Retention,Fall 2019,Fall 2018 to Fall 2019,0.7242524917,218,301
Retention,Fall 2020,Fall 2019 to Fall 2020,0.8029850746,269,335
Retention,Fall 2021,Fall 2020 to Fall 2021,0.758490566,201,265
Retention,Fall 2022,Fall 2021 to Fall 2022,0.7528409091,265,352
Retention,Fall 2023,Fall 2022 to Fall 2023,0.7963917526,309,388
RetentionSPR,Fall 2015,Fall 2014 to Spring 2015,0.8666666667,247,285
RetentionSPR,Fall 2016,Fall 2015 to Spring 2016,0.8453038674,306,362
RetentionSPR,Fall 2017,Fall 2016 to Spring 2017,0.884097035,328,371
RetentionSPR,Fall 2018,Fall 2017 to Spring 2018,0.8709677419,324,372
RetentionSPR,Fall 2019,Fall 2018 to Spring 2019,0.8471760797,255,301
RetentionSPR,Fall 2020,Fall 2019 to Spring 2020,0.9134328358,306,335
RetentionSPR,Fall 2021,Fall 2020 to Spring 2021,0.8716981132,231,265
RetentionSPR,Fall 2022,Fall 2021 to Spring 2022,0.8607954545,303,352
RetentionSPR,Fall 2023,Fall 2022 to Spring 2023,0.8891752577,345,388
RetentionSPR,Fall 2024,Fall 2023 to Spring 2024,0.8629807692,359,416
Graduation,Fall 2008,6 year graduation rate,0.4720670391,169,358
Graduation,Fall 2009,6 year graduation rate,0.4789156627,159,332
Graduation,Fall 2010,6 year graduation rate,0.4656716418,156,335
Graduation,Fall 2011,6 year graduation rate,0.4659863946,137,294
Graduation,Fall 2012,6 year graduation rate,0.4745098039,121,255
Graduation,Fall 2013,6 year graduation rate,0.4966442953,148,298
Graduation,Fall 2014,6 year graduation rate,0.5157894737,147,285
Graduation,Fall 2015,6 year graduation rate,0.4972375691,180,362
Graduation,Fall 2016,6 year graduation rate,0.5094339623,189,371
Graduation,Fall 2017,6 year graduation rate,0.5403225806,201,372
Progression,Fall 2014,,0.4923357664,1349,2740
Progression,Fall 2015,,0.4959754695,1294,2609
Progression,Fall 2016,,0.4759955341,1279,2687
Progression,Fall 2017,,0.5058823529,1376,2720
Progression,Fall 2018,,0.5080822924,1383,2722
Progression,Fall 2019,,0.5052592036,1345,2662
Progression,Fall 2020,,0.5193512717,1409,2713
Progression,Fall 2021,,0.4951744618,1334,2694
Progression,Fall 2022,,0.5100956429,1440,2823
Progression,Fall 2023,,0.5260521042,1575,2994
DFW,2014-15,,0.1522013801,6264,41156
DFW,2015-16,,0.1468116296,6009,40930
DFW,2016-17,,0.1337164078,5329,39853
DFW,2017-18,,0.1288342015,5120,39741
DFW,2018-19,,0.1205376003,4565,37872
DFW,2019-20,,0.1021114959,3656,35804
DFW,2020-21,,0.1559375448,5443,34905
DFW,2021-22,,0.1509230365,5175,34289
DFW,2022-23,,0.149803134,5669,37843
DFW,2023-24,,0.1406614238,5491,39037
