DATA_TYPE,CALENDAR,DESCR1,VALUE1,VALUE2,VALUE3
Enrollment,Fall 2014,,2001,,
Enrollment,Fall 2015,,2058,,
Enrollment,Fall 2016,,2107,,
Enrollment,Fall 2017,,2122,,
Enrollment,Fall 2018,,2144,,
Enrollment,Fall 2019,,2075,,
Enrollment,Fall 2020,,1932,,
Enrollment,Fall 2021,,1909,,
Enrollment,Fall 2022,,1940,,
Enrollment,Fall 2023,,2023,,
Degrees,2013-14,,406,,
Degrees,2014-15,,428,,
Degrees,2015-16,,426,,
Degrees,2016-17,,406,,
Degrees,2017-18,,433,,
Degrees,2018-19,,465,,
Degrees,2019-20,,425,,
Degrees,2020-21,,430,,
Degrees,2021-22,,444,,
Degrees,2022-23,,416,,
Retention,Fall 2014,Fall 2013 to Fall 2014,0.7154046997,274,383
Retention,Fall 2015,Fall 2014 to Fall 2015,0.730878187,258,353
Retention,Fall 2016,Fall 2015 to Fall 2016,0.7411273486,355,479
Retention,Fall 2017,Fall 2016 to Fall 2017,0.7549234136,345,457
Retention,Fall 2018,Fall 2017 to Fall 2018,0.7372708758,362,491
Retention,Fall 2019,Fall 2018 to Fall 2019,0.7455621302,378,507
Retention,Fall 2020,Fall 2019 to Fall 2020,0.7929759704,429,541
Retention,Fall 2021,Fall 2020 to Fall 2021,0.7415143603,284,383
Retention,Fall 2022,Fall 2021 to Fall 2022,0.8024439919,394,491
Retention,Fall 2023,Fall 2022 to Fall 2023,0.7837837838,377,481
RetentionSPR,Fall 2015,Fall 2014 to Spring 2015,0.8923512748,315,353
RetentionSPR,Fall 2016,Fall 2015 to Spring 2016,0.8977035491,430,479
RetentionSPR,Fall 2017,Fall 2016 to Spring 2017,0.8905908096,407,457
RetentionSPR,Fall 2018,Fall 2017 to Spring 2018,0.8676171079,426,491
RetentionSPR,Fall 2019,Fall 2018 to Spring 2019,0.8678500986,440,507
RetentionSPR,Fall 2020,Fall 2019 to Spring 2020,0.9020332717,488,541
RetentionSPR,Fall 2021,Fall 2020 to Spring 2021,0.8720626632,334,383
RetentionSPR,Fall 2022,Fall 2021 to Spring 2022,0.9103869654,447,491
RetentionSPR,Fall 2023,Fall 2022 to Spring 2023,0.8898128898,428,481
RetentionSPR,Fall 2024,Fall 2023 to Spring 2024,0.8688845401,444,511
Graduation,Fall 2008,6 year graduation rate,0.4807017544,137,285
Graduation,Fall 2009,6 year graduation rate,0.4976190476,209,420
Graduation,Fall 2010,6 year graduation rate,0.4331395349,149,344
Graduation,Fall 2011,6 year graduation rate,0.523659306,166,317
Graduation,Fall 2012,6 year graduation rate,0.5,178,356
Graduation,Fall 2013,6 year graduation rate,0.4882506527,187,383
Graduation,Fall 2014,6 year graduation rate,0.5042492918,178,353
Graduation,Fall 2015,6 year graduation rate,0.5240083507,251,479
Graduation,Fall 2016,6 year graduation rate,0.5667396061,259,457
Graduation,Fall 2017,6 year graduation rate,0.5478615071,269,491
Progression,Fall 2014,,0.4738154613,950,2005
Progression,Fall 2015,,0.4692653673,939,2001
Progression,Fall 2016,,0.4664723032,960,2058
Progression,Fall 2017,,0.4252491694,896,2107
Progression,Fall 2018,,0.4759660697,1010,2122
Progression,Fall 2019,,0.4883395522,1047,2144
Progression,Fall 2020,,0.5185542169,1076,2075
Progression,Fall 2021,,0.4963768116,959,1932
Progression,Fall 2022,,0.5484546883,1047,1909
Progression,Fall 2023,,0.5278350515,1024,1940
DFW,2014-15,,0.1690856313,5126,30316
DFW,2015-16,,0.1706206487,5171,30307
DFW,2016-17,,0.177661248,5082,28605
DFW,2017-18,,0.1602677358,4717,29432
DFW,2018-19,,0.1505281999,4289,28493
DFW,2019-20,,0.1088675567,2960,27189
DFW,2020-21,,0.1610065779,4210,26148
DFW,2021-22,,0.1468302984,3685,25097
DFW,2022-23,,0.143611444,3835,26704
DFW,2023-24,,0.1519350042,4189,27571
